GENES,gene accession,Start position,End position,CHROMOSOME,Strand,DESCRIPTION,PSORIASIC ARTHRITIS,ANKYLOSING SPONDYLITIS,SOURCE,1176,TOTAL DE GENES EM COMUM,,,,
IL22,ENSG00000127318,68248242,68253607,12,(-),interleukin 22,X,X,1; 3; 16,1,,,,,
PHACTR2,ENSG00000112419,143536845,143831185,6,(+),phosphatase and actin regulator 2,X,,18,0,,,,,
IL17A,ENSG00000112115,52186387,52190638,6,(+),	interleukin 17A,X,X,1; 3; 12; 17,1,,,,,
GPI,ENSG00000105220,34359480,34402156,19,(+),glucose-6-phosphate isomerase,X,,18,0,,,,,
SMAD3,ENSG00000166949,67063763,67195195,15,(+),SMAD family member 3,X,X,4,1,,,,,
SF3B1,ENSG00000115524,197389784,197435091,2,(-),splicing factor 3b subunit 1,X,X,4,1,,,,,
MAEA,ENSG00000090316,1289851,1340147,4,(+),macrophage erythroblast attacher,X,,2; 3,0,,,,,
CUX1,ENSG00000257923,101815904,102283957,7,(+),cut like homeobox 1,X,X,2; 5,1,,,,,
CDC42BPB,ENSG00000198752,102932379,103057462,14,(-),CDC42 binding protein kinase beta,X,X,4,1,,,,,
SMARCA4,ENSG00000127616,10961001,11065395,19,(+),"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4",X,X,2; 4,1,,,,,
ARHGEF3,ENSG00000163947,56727418,57079329,3,(-),Rho guanine nucleotide exchange factor 3,X,X,2; 4; 18,1,,,,,
CAMK2B,ENSG00000058404,44217150,44334577,7,(-),calcium/calmodulin dependent protein kinase II beta,X,,3,0,,,,,
MRPS23,ENSG00000181610,57834781,57850056,17,(-),mitochondrial ribosomal protein S23,X,X,4,1,,,,,
MYC,ENSG00000136997,127735434,127741434,8,(+),"MYC proto-oncogene, bHLH transcription factor",X,X,2; 4; 18,1,,,,,
DNMT3B,ENSG00000088305,32762385,32809356,20,(+),DNA methyltransferase 3 beta,X,,2,0,,,,,
STAT3,	ENSG00000168610,42313324,42388568,17,(-),signal transducer and activator of transcription 3,X,X,1; 16,1,,,,,
IL6,ENSG00000136244,22725884,22732002,7,(+),interleukin 6,X,,17,0,,,,,
BMP7,	ENSG00000101144,57168748,57266629,20,(-),bone morphogenetic protein 7,X,X,2; 5,1,,,,,
CCR7,ENSG00000126353,40553769,40565472,17,(-),C-C motif chemokine receptor 7,X,X,2; 9; 16; 18,1,,,,,
SELL,	ENSG00000188404,169690667,169711698,1,(-),selectin L,X,X,18,1,,,,,
IL10,ENSG00000136634,206767602,206772494,1,(-),interleukin 10,X,,16,0,,,,,
CXCL2,	ENSG00000081041,74097035,74099293,4,(-),C-X-C motif chemokine ligand 2,X,X,10,1,,,,,
CXCR5,ENSG00000160683,118883766,118897799,11,(+),C-X-C motif chemokine receptor 5,X,,9,0,,,,,
IL1R1/IL1R,ENSG00000115594,102064544,102179874,2,(+),interleukin 1 receptor type 1,X,X,3; 6; 16,1,,,,,
IRAK2,	ENSG00000134070,10164865,10243743,3,(+),interleukin 1 receptor associated kinase 2,X,,2,0,,,,,
LTA,ENSG00000226979,31572054,31574324,6,(+),	lymphotoxin alpha,X,X,1; 16,1,,,,,
TNFSF10,	ENSG00000121858,172505508,172523507,3,(-),TNF superfamily member 10,X,X,2; 4; 18,1,,,,,
TRAF4,	ENSG00000076604,28743984,28750958,17,(+),TNF receptor associated factor 4,X,X,2; 5,1,,,,,
IRF8,	ENSG00000140968,85898803,85922609,16,(+),interferon regulatory factor 8,X,,2,0,,,,,
CCL25,	ENSG00000131142,8052767,8062650,19,(+),	C-C motif chemokine ligand 25,X,X,16; 23,1,,,,,
CD5L,ENSG00000073754,157830914,157898256,1,(-),CD5 molecule like,X,,16,0,,,,,
IL17RA,ENSG00000177663,17084954,17115694,22,(+),	interleukin 17 receptor A,X,X,1; 4; 16,1,,,,,
MBP,	ENSG00000197971,76978827,77133683,18,(-),myelin basic protein,X,X,4; 18,1,,,,,
CSMD1,	ENSG00000183117,2935353,4994972,8,(-),CUB and Sushi multiple domains 1,X,X,2; 5,1,,,,,
JAM3,ENSG00000166086,134068925,134152001,11,(+),junctional adhesion molecule 3,X,X,4,1,,,,,
HCP5,	ENSG00000206337,31400702,31477506,6,(+),HLA complex P5,X,X,4,1,,,,,
HLA-B,ENSG00000234745,31353872,31357188,6,(-),"major histocompatibility complex, class I, B",X,X,4; 18,1,,,,,
HLA-C,ENSG00000204525,31268749,31357158,6,(-),"major histocompatibility complex, class I, C",X,X,4; 18,1,,,,,
MICA,ENSG00000204520,31399784,31415315,6,(+),MHC class I polypeptide-related sequence A,X,X,1,1,,,,,
